n1,n2,n3,n4,n5,n6
1,2,3,4,9,35
1,2,3,4,9,36
1,2,3,4,9,37
1,2,3,4,9,38
1,2,3,4,9,39
1,2,3,4,9,40
1,2,3,4,9,41
1,2,3,4,9,42
1,2,3,4,9,43
1,2,3,4,9,44
1,2,3,4,9,45
1,2,3,4,10,11
1,2,3,4,10,12
1,2,3,4,10,13
1,2,3,4,10,14
1,2,3,4,10,15
1,2,3,4,10,16
1,2,3,4,10,17
1,2,3,4,10,18
1,2,3,4,10,19
1,2,3,4,10,20
1,2,3,4,10,21
1,2,3,4,10,22
1,2,3,4,10,23
1,2,3,4,10,24
1,2,3,4,10,25
1,2,3,4,10,26
1,2,3,4,10,27
1,2,3,4,10,28
1,2,3,4,10,29
1,2,3,4,10,30
1,2,3,4,10,31
1,2,3,4,10,32
1,2,3,4,10,33
1,2,3,4,10,34
1,2,3,4,10,35
1,2,3,4,10,36
1,2,3,4,10,37
1,2,3,4,10,38
1,2,3,4,10,39
1,2,3,4,10,40
1,2,3,4,10,41
1,2,3,4,10,42
1,2,3,4,10,43
1,2,3,4,10,44
1,2,3,4,10,45
1,2,3,4,11,12
1,2,3,4,11,13
1,2,3,4,11,14
1,2,3,4,11,15
1,2,3,4,11,16
1,2,3,4,11,17
1,2,3,4,11,18
1,2,3,4,11,19
1,2,3,4,11,20
1,2,3,4,11,21
1,2,3,4,11,22
1,2,3,4,11,23
1,2,3,4,11,24
1,2,3,4,11,25
1,2,3,4,11,26
1,2,3,4,11,27
1,2,3,4,11,28
1,2,3,4,11,29
1,2,3,4,11,30
1,2,3,4,11,31
1,2,3,4,11,32
1,2,3,4,11,33
1,2,3,4,11,34
1,2,3,4,11,35
1,2,3,4,11,36
1,2,3,4,11,37
1,2,3,4,11,38
1,2,3,4,11,39
1,2,3,4,11,40
1,2,3,4,11,41
1,2,3,4,11,42
1,2,3,4,11,43
1,2,3,4,11,44
1,2,3,4,11,45
1,2,3,4,12,13
1,2,3,4,12,14
1,2,3,4,12,15
1,2,3,4,12,16
1,2,3,4,12,17
1,2,3,4,12,18
1,2,3,4,12,19
1,2,3,4,12,20
1,2,3,4,12,21
1,2,3,4,12,22
1,2,3,4,12,23
1,2,3,4,12,24
1,2,3,4,12,25
1,2,3,4,12,26
1,2,3,4,12,27
1,2,3,4,12,28
1,2,3,4,12,29
1,2,3,4,12,30
1,2,3,4,12,31
1,2,3,4,12,32
1,2,3,4,12,33
1,2,3,4,12,34
1,2,3,4,12,35
1,2,3,4,12,36
1,2,3,4,12,37
1,2,3,4,12,38
1,2,3,4,12,39
1,2,3,4,12,40
1,2,3,4,12,41
1,2,3,4,12,42
1,2,3,4,12,43
1,2,3,4,12,44
1,2,3,4,12,45
1,2,3,4,13,14
1,2,3,4,13,15
1,2,3,4,13,16
1,2,3,4,13,17
1,2,3,4,13,18
1,2,3,4,13,19
